Species;Sperm_length_micrometer
D. pulicaria;4.682
D. pulicaria;2.884
D. pulicaria;5.215
D. pulicaria;3.939
D. pulicaria;4
D. pulicaria;3.622
D. pulicaria;3.622
D. pulicaria;4.882
D. pulicaria;4.472
D. pulicaria;4.472
D. pulicaria;4.665
D. similis;6.966
D. similis;6.888
D. similis;6.812
D. similis;8.163
D. similis;6.888
D. similis;9.818
D. similis;5.325
D. similis;8.877
D. similis;12.363
D. similis;8.931
D. similis;8.616
D. similis;5.685
D. similis;7.616
D. similis;9.22
D. similis;8.964
D. similis;7.823
D. similis;10.4
D. similis;10.2
D. similis;7.655
D. similis;8.773
D. similis;9.93
D. similis;7.97
D. similis;10.77
D. sinensis;10.77
D. sinensis;7.889
D. sinensis;6.477
D. sinensis;11.034
D. sinensis;10.017
D. sinensis;9.062
D. sinensis;8.602
D. sinensis;7.507
D. sinensis;6.222
D. sinensis;10.394
D. sinensis;9.867
D. sinensis;10.007
D. sinensis;10.607
D. sinensis;10.097
D. sinensis;7.932
D. sinensis;10.001
D. sinensis;10.89
D. sinensis;13.652
D. sinensis;7.071
D. sinensis;9.995
D. sinensis;10.049
D. sinensis;7.071
D. sinensis;10.599
D. sinensis;6.551
D. sinensis;9.035
D. sinensis;10.963
D. zschokkei;6.066
D. zschokkei;6.248
D. zschokkei;5.934
D. zschokkei;5.403
D. zschokkei;4.858
D. zschokkei;4.961
D. zschokkei;7.799
D. zschokkei;5.623
D. zschokkei;6.548
D. zschokkei;5.896
D. zschokkei;7.108
D. zschokkei;7.229
D. zschokkei;5.513
D. zschokkei;8.279
D. zschokkei;5.636
D. zschokkei;6.31
